index,index2,Accession,family,Plot,Plant,Plant Height,Lateral tillers,Compact,FALL Rhizomes,Rhiz_num,Genotype?,Regrowth
A1D165-S4-160-8,A1D165.S4.160.8,A1D165-S4,A1D165,160,8,2,3,,NR,0,Y,NO
A1D165-S4-160-11,A1D165.S4.160.11,A1D165-S4,A1D165,160,11,4,0,,+++R,3,Y,NO
A1D165-S4-160-18,A1D165.S4.160.18,A1D165-S4,A1D165,160,18,2,0,,BT,0.5,Y,NO
A1D190-S11-161-1,A1D190.S11.161.1,A1D190-S11,A1D190,161,1,2.05,0,,BT,0.5,Y,NO
A1D190-S11-161-6,A1D190.S11.161.6,A1D190-S11,A1D190,161,6,2.05,0,,BT,0.5,Y,NO
A1D190-S11-161-8,A1D190.S11.161.8,A1D190-S11,A1D190,161,8,Late flowering,Late flowering,,BT,0.5,Y,NO
A1D281-T1-162-5,A1D281.T1.162.5,A1D281-T1,A1D281,162,5,5.03,0,,++R,2,Y,NO
A1D37-S2-164-3,A1D37.S2.164.3,A1D37-S2,A1D37,164,3,4,2,,+R,1,Y,NO
A1D1-D4-S2-165-5,A1D1.D4.S2.165.5,A1D1-D4-S2,A1D1-D4,165,5,2,3,,+R,1,Y,NO
A1D1-D4-S2-165-8,A1D1.D4.S2.165.8,A1D1-D4-S2,A1D1-D4,165,8,2.05,2,,BT,0.5,Y,NO
A1D1-D4-S2-165-9,A1D1.D4.S2.165.9,A1D1-D4-S2,A1D1-D4,165,9,4.11,3,,++R,2,Y,NO
A1D1-D4-S2-165-11,A1D1.D4.S2.165.11,A1D1-D4-S2,A1D1-D4,165,11,2.05,1,,BT,0.5,Y,NO
A1D160-T1-166-2,A1D160.T1.166.2,A1D160-T1,A1D160,166,2,3.05,0,,+++R,3,Y,Yes
A1D160-T1-166-4,A1D160.T1.166.4,A1D160-T1,A1D160,166,4,3.05,2,,NR,0,Y,Yes
A1D160-T1-166-5,A1D160.T1.166.5,A1D160-T1,A1D160,166,5,4.08,2,,+R,1,Y,Yes
A1D160-T1-166-12,A1D160.T1.166.12,A1D160-T1,A1D160,166,12,4.07,3,,+R,1,Y,NO
A1D109-T8-T26-T27-168-1,A1D109.T8.T26.T27.168.1,A1D109-T8-T26-T27,A1D109,168,1,4.08,0,,++R,2,Y,NO
A1D109-T8-T26-T27-168-2,A1D109.T8.T26.T27.168.2,A1D109-T8-T26-T27,A1D109,168,2,5.03,0,,BT,0.5,Y,NO
A1D109-T8-T26-T27-168-3,A1D109.T8.T26.T27.168.3,A1D109-T8-T26-T27,A1D109,168,3,7.01,0,,BT,0.5,Y,NO
A1D109-T8-T26-T27-168-4,A1D109.T8.T26.T27.168.4,A1D109-T8-T26-T27,A1D109,168,4,4.11,0,,NR,0,Y,NO
A1D109-T8-T26-T27-168-5,A1D109.T8.T26.T27.168.5,A1D109-T8-T26-T27,A1D109,168,5,6.05,3,,NR,0,Y,NO
A1D109-T8-T26-T27-168-6,A1D109.T8.T26.T27.168.6,A1D109-T8-T26-T27,A1D109,168,6,5.04,0,,NR,0,Y,NO
A1D109-T8-T26-T27-168-8,A1D109.T8.T26.T27.168.8,A1D109-T8-T26-T27,A1D109,168,8,2.05,0,,NR,0,Y,NO
A1D109-T8-T26-T27-168-9,A1D109.T8.T26.T27.168.9,A1D109-T8-T26-T27,A1D109,168,9,5.04,0,,++R,2,Y,NO
A1D109-T8-T26-T27-168-10,A1D109.T8.T26.T27.168.10,A1D109-T8-T26-T27,A1D109,168,10,3.02,0,,NR,0,Y,NO
A1D109-T8-T26-T27-168-11,A1D109.T8.T26.T27.168.11,A1D109-T8-T26-T27,A1D109,168,11,7,0,,+R,1,Y,NO
A1D109-T8-T26-T27-168-12,A1D109.T8.T26.T27.168.12,A1D109-T8-T26-T27,A1D109,168,12,4.11,3,,+R,1,Y,NO
A1D109-T8-T26-T27-168-13,A1D109.T8.T26.T27.168.13,A1D109-T8-T26-T27,A1D109,168,13,3.05,2,,NR,0,Y,NO
A1D109-T8-T26-T27-168-14,A1D109.T8.T26.T27.168.14,A1D109-T8-T26-T27,A1D109,168,14,Late flowering,Late flowering,,BT,0.5,Y,NO
A1D109-T8-T26-T27-168-15,A1D109.T8.T26.T27.168.15,A1D109-T8-T26-T27,A1D109,168,15,5.01,3,,NR,0,Y,NO
A1D109-T8-T26-T27-168-16,A1D109.T8.T26.T27.168.16,A1D109-T8-T26-T27,A1D109,168,16,2,1,,++R,2,Y,NO
A1D109-T8-T26-T27-168-17,A1D109.T8.T26.T27.168.17,A1D109-T8-T26-T27,A1D109,168,17,4.08,1,,NR,0,Y,NO
A1D109-T8-T26-T27-168-18,A1D109.T8.T26.T27.168.18,A1D109-T8-T26-T27,A1D109,168,18,4,0,,NR,0,Y,NO
A1D109-T8-T26-T27-168-19,A1D109.T8.T26.T27.168.19,A1D109-T8-T26-T27,A1D109,168,19,5.01,2,,NR,0,Y,NO
A1D109-T8-T26-T27-168-20,A1D109.T8.T26.T27.168.20,A1D109-T8-T26-T27,A1D109,168,20,4,2,,BT,0.5,Y,NO
A1D109-T8-T26-T27-168-21,A1D109.T8.T26.T27.168.21,A1D109-T8-T26-T27,A1D109,168,21,Late flowering,Late flowering,,NR,0,Y,NO
A1D1-D4-R1-S1-170-1,A1D1.D4.R1.S1.170.1,A1D1-D4-R1-S1,A1D1-D4,170,1,5.05,0,,++R,2,Y,NO
A1D1-D4-R1-S1-170-6,A1D1.D4.R1.S1.170.6,A1D1-D4-R1-S1,A1D1-D4,170,6,3,0,,BT,0.5,Y,NO
A1D1-D4-R1-S1-170-8,A1D1.D4.R1.S1.170.8,A1D1-D4-R1-S1,A1D1-D4,170,8,3,0,,+R,1,Y,Yes
A1D220-S3-171-5,A1D220.S3.171.5,A1D220-S3,A1D220,171,5,3.05,1,,+R,1,Y,NO
A1D220-S3-171-8,A1D220.S3.171.8,A1D220-S3,A1D220,171,8,2.05,0,,NR,0,Y,Yes
A1D220-S3-171-14,A1D220.S3.171.14,A1D220-S3,A1D220,171,14,4.02,2,,+R,1,Y,NO
A1D220-S3-171-19,A1D220.S3.171.19,A1D220-S3,A1D220,171,19,3.05,1,,++R,2,Y,NO
A1D220-S1-172-1,A1D220.S1.172.1,A1D220-S1,A1D220,172,1,7.05,0,,+R,1,Y,NO
A1D220-S1-172-12,A1D220.S1.172.12,A1D220-S1,A1D220,172,12,4.08,4,,+R,1,Y,NO
A1D185-S1-173-3,A1D185.S1.173.3,A1D185-S1,A1D185,173,3,6.03,0,,BT,0.5,Y,NO
A1D185-S1-173-8,A1D185.S1.173.8,A1D185-S1,A1D185,173,8,3.05,0,,BT,0.5,Y,NO
A1D185-S1-173-9,A1D185.S1.173.9,A1D185-S1,A1D185,173,9,7.03,2,,+R,1,Y,NO
A1D185-S1-173-11,A1D185.S1.173.11,A1D185-S1,A1D185,173,11,5.07,1,,NR,0,Y,NO
A1D220-T23-174-1,A1D220.T23.174.1,A1D220-T23,A1D220,174,1,5.06,0,,++R,2,Y,NO
A1D220-T23-174-13,A1D220.T23.174.13,A1D220-T23,A1D220,174,13,4.02,2,,+R,1,Y,NO
A1D220-T23-174-21,A1D220.T23.174.21,A1D220-T23,A1D220,174,21,4,2,,++R,2,Y,NO
A1D220-T23-174-25,A1D220.T23.174.25,A1D220-T23,A1D220,174,25,8.07,0,,+R,1,Y,NO
A1D220-T23-174-29,A1D220.T23.174.29,A1D220-T23,A1D220,174,29,Late flowering,Late flowering,,+R,1,Y,NO
A1D183-S1-175-1,A1D183.S1.175.1,A1D183-S1,A1D183,175,1,Late flowering,Late flowering,,+++R,3,Y,NO
A1D183-S1-175-4,A1D183.S1.175.4,A1D183-S1,A1D183,175,4,9.04,0,,++R,2,Y,NO
A1D183-S1-175-11,A1D183.S1.175.11,A1D183-S1,A1D183,175,11,7.08,0,,+R,1,Y,NO
A1D183-S1-175-14,A1D183.S1.175.14,A1D183-S1,A1D183,175,14,8.09,0,,+R,1,Y,NO
A1D183-S1-175-16,A1D183.S1.175.16,A1D183-S1,A1D183,175,16,4.06,0,,+R,1,Y,NO
A1D183-S1-175-19,A1D183.S1.175.19,A1D183-S1,A1D183,175,19,9.01,0,,++R,2,Y,NO
A1D183-S1-175-20,A1D183.S1.175.20,A1D183-S1,A1D183,175,20,7.11,3,,++R,2,Y,NO
A1D183-S1-175-21,A1D183.S1.175.21,A1D183-S1,A1D183,175,21,7.03,0,,BT,0.5,Y,NO
A1D183-S1-175-23,A1D183.S1.175.23,A1D183-S1,A1D183,175,23,Late flowering,Late flowering,,++R,2,Y,NO
A1D80-S2-176-8,A1D80.S2.176.8,A1D80-S2,A1D80,176,8,3.05,2,,++R,2,Y,NO
A1D80-S2-176-9,A1D80.S2.176.9,A1D80-S2,A1D80,176,9,4.06,2,,+R,1,Y,NO
A1D80-S2-176-23,A1D80.S2.176.23,A1D80-S2,A1D80,176,23,4.08,2,,BT,0.5,Y,NO
A1D80-S2-176-25,A1D80.S2.176.25,A1D80-S2,A1D80,176,25,5.03,2,,NR,0,Y,NO
A1D142-S2-178-1,A1D142.S2.178.1,A1D142-S2,A1D142,178,1,5.03,5,,++R,2,Y,NO
A1D142-S2-178-3,A1D142.S2.178.3,A1D142-S2,A1D142,178,3,4.1,1,,BT,0.5,Y,NO
A1D142-S2-178-6,A1D142.S2.178.6,A1D142-S2,A1D142,178,6,4.03,2,,++R,2,Y,NO
A1D142-S2-178-12,A1D142.S2.178.12,A1D142-S2,A1D142,178,12,6.01,0,,++R,2,Y,NO
A1D142-S2-178-17,A1D142.S2.178.17,A1D142-S2,A1D142,178,17,Late flowering,Late flowering,,++R,2,Y,NO
A1D132-S2-180-1,A1D132.S2.180.1,A1D132-S2,A1D132,180,1,4,2,,++R,2,Y,NO
A1D132-S2-180-3,A1D132.S2.180.3,A1D132-S2,A1D132,180,3,7.03,3,,++R,2,Y,NO
A1D132-S2-180-11,A1D132.S2.180.11,A1D132-S2,A1D132,180,11,5.04,3,,++R,2,Y,Yes
A1D132-S2-180-12,A1D132.S2.180.12,A1D132-S2,A1D132,180,12,Late flowering,Late flowering,,BT,0.5,Y,NO
A1D156-T32a-181-2,A1D156.T32a.181.2,A1D156-T32a,A1D156,181,2,3,1,,NR,0,Y,NO
A1D156-T32a-181-4,A1D156.T32a.181.4,A1D156-T32a,A1D156,181,4,3.05,2,,+R,1,Y,NO
A1D156-T32a-181-5,A1D156.T32a.181.5,A1D156-T32a,A1D156,181,5,2,0,,NR,0,Y,NO
A1D156-T32a-181-6,A1D156.T32a.181.6,A1D156-T32a,A1D156,181,6,3,2,,+R,1,Y,NO
A1D156-T32a-181-11,A1D156.T32a.181.11,A1D156-T32a,A1D156,181,11,3.05,0,,NR,0,Y,NO
A1D156-T32a-181-12,A1D156.T32a.181.12,A1D156-T32a,A1D156,181,12,3,1,,NR,0,Y,NO
A1D156-T32a-181-13,A1D156.T32a.181.13,A1D156-T32a,A1D156,181,13,3,0,,NR,0,Y,Yes
A1D156-T32a-181-17,A1D156.T32a.181.17,A1D156-T32a,A1D156,181,17,5.03,2,,NR,0,Y,NO
A1D156-T32a-181-24,A1D156.T32a.181.24,A1D156-T32a,A1D156,181,24,3,1,,NR,0,Y,NO
A1D156-T32a-181-31,A1D156.T32a.181.31,A1D156-T32a,A1D156,181,31,3.05,1,,++R,2,Y,NO
A1D156-T32a-181-37,A1D156.T32a.181.37,A1D156-T32a,A1D156,181,37,5,0,,++R,2,Y,NO
A1D156-T32a-181-38,A1D156.T32a.181.38,A1D156-T32a,A1D156,181,38,3.05,1,,+R,1,Y,NO
A1D156-T32a-181-39,A1D156.T32a.181.39,A1D156-T32a,A1D156,181,39,2.05,1,,NR,0,Y,NO
A1D156-T32a-181-45,A1D156.T32a.181.45,A1D156-T32a,A1D156,181,45,4.06,1,,++R,2,Y,NO
A1D160-T4-182-6,A1D160.T4.182.6,A1D160-T4,A1D160,182,6,4,0,,+R,1,Y,NO
A1D160-T4-182-13,A1D160.T4.182.13,A1D160-T4,A1D160,182,13,2,2,,+R,1,Y,NO
A1D160-T4-182-21,A1D160.T4.182.21,A1D160-T4,A1D160,182,21,4.07,1,,++R,2,Y,NO
A1D160-T4-182-26,A1D160.T4.182.26,A1D160-T4,A1D160,182,26,5.03,4,,+R,1,Y,NO
A1D160-T4-182-28,A1D160.T4.182.28,A1D160-T4,A1D160,182,28,2.05,2,,NR,0,Y,NO
A1D160-T4-182-33,A1D160.T4.182.33,A1D160-T4,A1D160,182,33,2,0,,BT,0.5,Y,NO
A1D37-T32-183-1,A1D37.T32.183.1,A1D37-T32,A1D37,183,1,Late flowering,Late flowering,,+R,1,Y,NO
A1D37-T32-183-4,A1D37.T32.183.4,A1D37-T32,A1D37,183,4,Late flowering,Late flowering,,++R,2,Y,NO
A1D37-T32-183-6,A1D37.T32.183.6,A1D37-T32,A1D37,183,6,9.11,1,,++R,2,Y,Yes
A1D37-T32-183-17,A1D37.T32.183.17,A1D37-T32,A1D37,183,17,5.07,3,,+R,1,Y,NO
A1D179-S5-184-1,A1D179.S5.184.1,A1D179-S5,A1D179,184,1,5.08,4,,+++R,3,Y,NO
A1D185-S2-185-1,A1D185.S2.185.1,A1D185-S2,A1D185,185,1,4.09,2,,++R,2,Y,NO
A1D185-S2-185-2,A1D185.S2.185.2,A1D185-S2,A1D185,185,2,Late flowering,Late flowering,,+R,1,Y,NO
A1D185-S2-185-10,A1D185.S2.185.10,A1D185-S2,A1D185,185,10,Late flowering,Late flowering,,BT,0.5,Y,NO
A1D185-S2-185-18,A1D185.S2.185.18,A1D185-S2,A1D185,185,18,7.02,4,,BT,0.5,Y,NO
A1D185-S2-185-19,A1D185.S2.185.19,A1D185-S2,A1D185,185,19,4.05,2,,+R,1,Y,NO
A1D185-S2-185-28,A1D185.S2.185.28,A1D185-S2,A1D185,185,28,4,1,,NR,0,Y,NO
A1D185-S2-185-31,A1D185.S2.185.31,A1D185-S2,A1D185,185,31,6.02,0,,++R,2,Y,NO
A1D185-S2-185-37,A1D185.S2.185.37,A1D185-S2,A1D185,185,37,Late flowering,Late flowering,,+R,1,Y,NO
A1D1-AA6-R1-S6-186-5,A1D1.AA6.R1.S6.186.5,A1D1-AA6-R1-S6,A1D1-AA6,186,5,4.11,2,,NR,0,Y,NO
A1D1-AA6-R1-S6-186-11,A1D1.AA6.R1.S6.186.11,A1D1-AA6-R1-S6,A1D1-AA6,186,11,4.1,2,,NR,0,Y,NO
A1D1-AA6-R1-S6-186-18,A1D1.AA6.R1.S6.186.18,A1D1-AA6-R1-S6,A1D1-AA6,186,18,5.1,2,,++R,2,Y,NO
A1D1-AA6-R1-S6-186-19,A1D1.AA6.R1.S6.186.19,A1D1-AA6-R1-S6,A1D1-AA6,186,19,4,4,,++R,2,Y,NO
A1D1-AA6-R1-S6-186-26,A1D1.AA6.R1.S6.186.26,A1D1-AA6-R1-S6,A1D1-AA6,186,26,5,3,,NR,0,Y,NO
A1D1-AA6-R1-S6-186-31,A1D1.AA6.R1.S6.186.31,A1D1-AA6-R1-S6,A1D1-AA6,186,31,5.02,2,,+R,1,Y,NO
A1D1-AA6-R1-S6-186-35,A1D1.AA6.R1.S6.186.35,A1D1-AA6-R1-S6,A1D1-AA6,186,35,5.03,2,,BT,0.5,Y,NO
A1D119-S6-187-3,A1D119.S6.187.3,A1D119-S6,A1D119,187,3,7.11,0,,++R,2,Y,NO
A1D119-S6-187-5,A1D119.S6.187.5,A1D119-S6,A1D119,187,5,4,2,,NR,0,Y,NO
A1D119-S6-187-14,A1D119.S6.187.14,A1D119-S6,A1D119,187,14,4.03,2,,BT,0.5,Y,NO
A1D119-S6-187-26,A1D119.S6.187.26,A1D119-S6,A1D119,187,26,5,2,,++R,2,Y,NO
A1D119-S6-187-29,A1D119.S6.187.29,A1D119-S6,A1D119,187,29,4,1,,BT,0.5,Y,NO
A1D119-S6-187-32,A1D119.S6.187.32,A1D119-S6,A1D119,187,32,3.05,2,,BT,0.5,Y,NO
A1D119-S7-188-1,A1D119.S7.188.1,A1D119-S7,A1D119,188,1,5.02,0,,BT,0.5,Y,NO
A1D119-S7-188-7,A1D119.S7.188.7,A1D119-S7,A1D119,188,7,4.1,1,,+R,1,Y,NO
A1D119-S7-188-13,A1D119.S7.188.13,A1D119-S7,A1D119,188,13,4.1,3,,+R,1,Y,NO
A1D119-S7-188-24,A1D119.S7.188.24,A1D119-S7,A1D119,188,24,5.03,2,,++R,2,Y,NO
A1D220-T15-189-1,A1D220.T15.189.1,A1D220-T15,A1D220,189,1,7.03,0,,++R,2,Y,NO
A1D142-S1-190-2,A1D142.S1.190.2,A1D142-S1,A1D142,190,2,6,0,,NR,0,Y,NO
A1D142-S1-190-11,A1D142.S1.190.11,A1D142-S1,A1D142,190,11,5.08,2,,+R,1,Y,NO
A1D142-S1-190-14,A1D142.S1.190.14,A1D142-S1,A1D142,190,14,6.06,0,,NR,0,Y,NO
A1D142-S1-190-24,A1D142.S1.190.24,A1D142-S1,A1D142,190,24,5.08,2,,+R,1,Y,NO
A1D1-AA6-R1-S7-191-2,A1D1.AA6.R1.S7.191.2,A1D1-AA6-R1-S7,A1D1-AA6,191,2,4,0,,NR,0,Y,NO
A1D1-AA6-R1-S7-191-4,A1D1.AA6.R1.S7.191.4,A1D1-AA6-R1-S7,A1D1-AA6,191,4,4.08,2,,NR,0,Y,NO
A1D1-AA6-R1-S7-191-9,A1D1.AA6.R1.S7.191.9,A1D1-AA6-R1-S7,A1D1-AA6,191,9,5,0,,NR,0,Y,NO
A1D1-AA6-R1-S7-191-28,A1D1.AA6.R1.S7.191.28,A1D1-AA6-R1-S7,A1D1-AA6,191,28,4.05,2,,BT,0.5,Y,NO
A1D1-AA6-R1-S7-191-31,A1D1.AA6.R1.S7.191.31,A1D1-AA6-R1-S7,A1D1-AA6,191,31,4.05,3,,+R,1,Y,NO
A1D1-AA6-R1-S7-191-36,A1D1.AA6.R1.S7.191.36,A1D1-AA6-R1-S7,A1D1-AA6,191,36,5.08,3,,BT,0.5,Y,NO
A1D1-AA6-R1-S7-191-37,A1D1.AA6.R1.S7.191.37,A1D1-AA6-R1-S7,A1D1-AA6,191,37,5.06,4,,+R,1,Y,NO
A1D1-AA6-R1-S7-191-38,A1D1.AA6.R1.S7.191.38,A1D1-AA6-R1-S7,A1D1-AA6,191,38,4.07,2,,BT,0.5,Y,NO
A1D1-AA6-R1-S7-191-40,A1D1.AA6.R1.S7.191.40,A1D1-AA6-R1-S7,A1D1-AA6,191,40,4.08,5,,+R,1,Y,NO
A1D1-AA6-R1-S7-191-44,A1D1.AA6.R1.S7.191.44,A1D1-AA6-R1-S7,A1D1-AA6,191,44,3.05,2,,BT,0.5,Y,NO
A1D220-S7-192-12,A1D220.S7.192.12,A1D220-S7,A1D220,192,12,6.01,2,,++R,2,Y,NO
A1D220-S7-192-17,A1D220.S7.192.17,A1D220-S7,A1D220,192,17,6.02,2,,++R,2,Y,NO
A1D119-S3-193-1,A1D119.S3.193.1,A1D119-S3,A1D119,193,1,3.05,4,,+++R,3,Y,NO
A1D119-S3-193-4,A1D119.S3.193.4,A1D119-S3,A1D119,193,4,5.09,3,,++R,2,Y,NO
A1D119-S3-193-9,A1D119.S3.193.9,A1D119-S3,A1D119,193,9,4.11,3,,NR,0,Y,NO
A1D119-S3-193-16,A1D119.S3.193.16,A1D119-S3,A1D119,193,16,4,4,,BT,0.5,Y,NO
A1D119-S3-193-18,A1D119.S3.193.18,A1D119-S3,A1D119,193,18,6.05,3,,++R,2,Y,NO
A1D119-S3-193-24,A1D119.S3.193.24,A1D119-S3,A1D119,193,24,4.09,2,,+R,1,Y,NO
A1D119-S3-193-30,A1D119.S3.193.30,A1D119-S3,A1D119,193,30,3.05,2,,+R,1,Y,NO
A1D185-T9-195-7,A1D185.T9.195.7,A1D185-T9,A1D185,195,7,2,0,,BT,0.5,Y,NO
A1D185-T9-195-10,A1D185.T9.195.10,A1D185-T9,A1D185,195,10,6.01,3,,++R,2,Y,NO
A1D185-T9-195-15,A1D185.T9.195.15,A1D185-T9,A1D185,195,15,Late flowering,Late flowering,,BT,0.5,Y,NO
A1D185-T9-195-21,A1D185.T9.195.21,A1D185-T9,A1D185,195,21,6.02,3,,++R,2,Y,NO
A1D185-T9-195-28,A1D185.T9.195.28,A1D185-T9,A1D185,195,28,6.02,1,,BT,0.5,Y,NO
A1D185-T9-195-29,A1D185.T9.195.29,A1D185-T9,A1D185,195,29,6.02,0,,BT,0.5,Y,NO
A1D211-S1-197-2,A1D211.S1.197.2,A1D211-S1,A1D211,197,2,6.11,7,,++R,2,Y,NO
A1D211-S1-197-7,A1D211.S1.197.7,A1D211-S1,A1D211,197,7,5.03,2,,NR,0,Y,NO
A1D211-S1-197-11,A1D211.S1.197.11,A1D211-S1,A1D211,197,11,7.03,1,,NR,0,Y,NO
A1D211-S1-197-14,A1D211.S1.197.14,A1D211-S1,A1D211,197,14,5.05,0,,+R,1,Y,NO
A1D211-S1-197-20,A1D211.S1.197.20,A1D211-S1,A1D211,197,20,7.1,0,,++R,2,Y,NO
A1D211-S1-197-21,A1D211.S1.197.21,A1D211-S1,A1D211,197,21,5.04,0,,BT,0.5,Y,NO
A1D1-AA6-R1-S4-198-1,A1D1.AA6.R1.S4.198.1,A1D1-AA6-R1-S4,A1D1-AA6,198,1,8.02,0,,BT,0.5,Y,NO
A1D1-AA6-R1-S4-198-6,A1D1.AA6.R1.S4.198.6,A1D1-AA6-R1-S4,A1D1-AA6,198,6,4.11,1,,++R,2,Y,NO
A1D1-AA6-R1-S4-198-8,A1D1.AA6.R1.S4.198.8,A1D1-AA6-R1-S4,A1D1-AA6,198,8,6,2,,++R,2,Y,NO
A1D1-AA6-R1-S4-198-9,A1D1.AA6.R1.S4.198.9,A1D1-AA6-R1-S4,A1D1-AA6,198,9,4.08,3,,++R,2,Y,NO
A1D1-AA6-R1-S4-198-10,A1D1.AA6.R1.S4.198.10,A1D1-AA6-R1-S4,A1D1-AA6,198,10,4.08,2,,+R,1,Y,NO
A1D1-AA6-R1-S4-198-11,A1D1.AA6.R1.S4.198.11,A1D1-AA6-R1-S4,A1D1-AA6,198,11,7.01,3,,++R,2,Y,Yes
A1D1-AA6-R1-S4-198-12,A1D1.AA6.R1.S4.198.12,A1D1-AA6-R1-S4,A1D1-AA6,198,12,5.07,3,,++R,2,Y,NO
A1D1-AA6-R1-S4-198-20,A1D1.AA6.R1.S4.198.20,A1D1-AA6-R1-S4,A1D1-AA6,198,20,5.09,1,,++R,2,Y,NO
A1D119-S7-199-2,A1D119.S7.199.2,A1D119-S7,A1D119,199,2,6.05,4,,++R,2,Y,NO
A1D119-S7-199-10,A1D119.S7.199.10,A1D119-S7,A1D119,199,10,4.03,2,,BT,0.5,Y,NO
A1D119-S7-199-13,A1D119.S7.199.13,A1D119-S7,A1D119,199,13,5.04,0,,NR,0,Y,NO
A1D156-S1-200-2,A1D156.S1.200.2,A1D156-S1,A1D156,200,2,3.05,0,,NR,0,Y,NO
A1D156-S1-200-5,A1D156.S1.200.5,A1D156-S1,A1D156,200,5,5.1,0,,++R,2,Y,NO
A1D156-S1-200-6,A1D156.S1.200.6,A1D156-S1,A1D156,200,6,6,4,,++R,2,Y,NO
A1D156-S1-200-11,A1D156.S1.200.11,A1D156-S1,A1D156,200,11,5.03,2,,++R,2,Y,NO
A1D156-S1-200-16,A1D156.S1.200.16,A1D156-S1,A1D156,200,16,3.05,0,,+++R,3,Y,NO
A1D156-S1-200-23,A1D156.S1.200.23,A1D156-S1,A1D156,200,23,6.04,2,,+R,1,Y,NO
A1D190-S14-201-1,A1D190.S14.201.1,A1D190-S14,A1D190,201,1,2.05,0,,BT,0.5,Y,NO
A1D190-S14-201-2,A1D190.S14.201.2,A1D190-S14,A1D190,201,2,2,0,,NR,0,Y,NO
A1D190-S14-201-5,A1D190.S14.201.5,A1D190-S14,A1D190,201,5,2.05,0,,NR,0,Y,NO
A1D190-S14-201-6,A1D190.S14.201.6,A1D190-S14,A1D190,201,6,4,1,,++R,2,Y,NO
A1D190-S14-201-8,A1D190.S14.201.8,A1D190-S14,A1D190,201,8,3,0,,NR,0,Y,NO
A1D190-S14-201-11,A1D190.S14.201.11,A1D190-S14,A1D190,201,11,4,0,,NR,0,Y,NO
A1D190-S14-201-15,A1D190.S14.201.15,A1D190-S14,A1D190,201,15,3.05,1,,+R,1,Y,NO
A1D190-S14-201-18,A1D190.S14.201.18,A1D190-S14,A1D190,201,18,2.05,2,,NR,0,Y,NO
A1D1-AA6-R1-S5-202-8,A1D1.AA6.R1.S5.202.8,A1D1-AA6-R1-S5,A1D1-AA6,202,8,4.11,1,,BT,0.5,Y,NO
A1D1-AA6-R1-S5-202-13,A1D1.AA6.R1.S5.202.13,A1D1-AA6-R1-S5,A1D1-AA6,202,13,5.11,5,,++R,2,Y,NO
A1D165-S2-204-2,A1D165.S2.204.2,A1D165-S2,A1D165,204,2,2.05,1,,NR,0,Y,NO
A1D165-S2-204-8,A1D165.S2.204.8,A1D165-S2,A1D165,204,8,3,2,,BT,0.5,Y,NO
A1D165-S2-204-10,A1D165.S2.204.10,A1D165-S2,A1D165,204,10,2.05,1,,+R,1,Y,NO
A1D165-S2-204-14,A1D165.S2.204.14,A1D165-S2,A1D165,204,14,2.05,0,,++R,2,Y,NO
A1D142-S4-205-1,A1D142.S4.205.1,A1D142-S4,A1D142,205,1,3.05,2,,++R,2,Y,NO
A1D142-S4-205-7,A1D142.S4.205.7,A1D142-S4,A1D142,205,7,Late flowering,Late flowering,,+R,1,Y,NO
A1D142-S4-205-8,A1D142.S4.205.8,A1D142-S4,A1D142,205,8,5.04,1,,++R,2,Y,NO
A1D142-S4-205-12,A1D142.S4.205.12,A1D142-S4,A1D142,205,12,6.05,3,,BT,0.5,Y,NO
A1D142-S4-205-20,A1D142.S4.205.20,A1D142-S4,A1D142,205,20,3.05,0,,NR,0,Y,NO
A1D142-S4-205-22,A1D142.S4.205.22,A1D142-S4,A1D142,205,22,5.09,3,,++R,2,Y,NO
A1D142-S4-205-32,A1D142.S4.205.32,A1D142-S4,A1D142,205,32,5.05,1,,+R,1,Y,NO
A1D142-S4-205-38,A1D142.S4.205.38,A1D142-S4,A1D142,205,38,3,0,,BT,0.5,Y,NO
A1D142-S4-205-42,A1D142.S4.205.42,A1D142-S4,A1D142,205,42,6.07,3,,++R,2,Y,NO
A1D142-S4-205-49,A1D142.S4.205.49,A1D142-S4,A1D142,205,49,4,0,,NR,0,Y,NO
A1D220-T48-206-1,A1D220.T48.206.1,A1D220-T48,A1D220,206,1,2.05,1,,BT,0.5,Y,NO
A1D220-T48-206-5,A1D220.T48.206.5,A1D220-T48,A1D220,206,5,4,0,,NR,0,Y,NO
A1D220-T48-206-15,A1D220.T48.206.15,A1D220-T48,A1D220,206,15,3,2,,+R,1,Y,NO
A1D220-T48-206-25,A1D220.T48.206.25,A1D220-T48,A1D220,206,25,3.05,0,,BT,0.5,Y,NO
A1D220-T48-206-26,A1D220.T48.206.26,A1D220-T48,A1D220,206,26,3.05,1,,+R,1,Y,NO
A1D220-T48-206-29,A1D220.T48.206.29,A1D220-T48,A1D220,206,29,5.05,1,,BT,0.5,Y,NO
A1D220-T48-206-35,A1D220.T48.206.35,A1D220-T48,A1D220,206,35,4,1,,NR,0,Y,NO
A1D1-D4-S1-207-6,A1D1.D4.S1.207.6,A1D1-D4-S1,A1D1-D4,207,6,4.06,0,,+R,1,Y,NO
A1D1-D4-S1-207-9,A1D1.D4.S1.207.9,A1D1-D4-S1,A1D1-D4,207,9,4.09,0,,+R,1,Y,NO
A1D1-D4-S1-207-12,A1D1.D4.S1.207.12,A1D1-D4-S1,A1D1-D4,207,12,4,0,,+R,1,Y,NO
